trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.95}",25,0,-131.97296776053975,"{0: 15, 1: 4, 2: 1, 3: 4, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.8999999999999999}",25,0,-87.54391915374687,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.6, 'e': 0.8499999999999999}",25,0,-85.14149671324392,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.7999999999999998}",20,0,-62.19914508776765,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.7499999999999998}",25,0,-27.295411904064274,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.6, 'e': 0.6999999999999997}",25,0,-65.76186171314772,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.6, 'e': 0.6499999999999997}",30,0,-123.11707388268572,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.6, 'e': 0.5999999999999996}",25,0,-14.041496959105082,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.6, 'e': 0.5499999999999996}",30,0,-91.6266361727943,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.6, 'e': 0.4999999999999996}",20,0,-34.242312774144544,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.6, 'e': 0.4499999999999996}",20,6,-63.830587769076644,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
12,False,"{'a': 0.6, 'e': 0.39999999999999963}",25,0,-7.273869825892353,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.6, 'e': 0.34999999999999964}",30,0,-50.75279051382596,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
14,False,"{'a': 0.6, 'e': 0.29999999999999966}",25,8,-12.080562225007084,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.6, 'e': 0.24999999999999967}",20,14,0.8435348389203092,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.6, 'e': 0.19999999999999968}",25,0,-30.387423632588877,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.6, 'e': 0.1499999999999997}",30,12,16.2749867579671,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.6, 'e': 0.09999999999999969}",25,6,11.19547860305435,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.6, 'e': 0.049999999999999684}",30,23,12.166102812772046,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.6, 'e': -3.191891195797325e-16}",20,10,18.49763240669079,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.6, 'e': 0}",25,0,29.710635455856078,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0.6, 'e': 0}",25,16,16.000705142932976,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.6, 'e': 0}",20,14,11.168360764653139,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.6, 'e': 0}",20,0,32.17662725270696,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.6, 'e': 0}",20,8,21.25146870241704,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.6, 'e': 0}",20,10,-14.741325994528312,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
7,True,"{'a': 0.6, 'e': 0}",25,11,25.267544423145477,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.6, 'e': 0}",20,2,30.72156457686858,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.6, 'e': 0}",20,0,25.20936270016659,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.6, 'e': 0}",30,18,26.39065927685689,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
