trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6799999999999999, 'e': 1.0}",25,0,-61.77727345867913,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.6599999999999999, 'e': 0.9704455335485082}",20,0,-52.347473448701386,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.6399999999999999, 'e': 0.9417645335842487}",25,0,-181.96239574216293,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
4,False,"{'a': 0.6199999999999999, 'e': 0.9139311852712282}",20,0,-10.382896537639471,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5999999999999999, 'e': 0.8869204367171575}",25,0,-66.68692625362644,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
6,False,"{'a': 0.5799999999999998, 'e': 0.8607079764250578}",20,0,-79.47156664721258,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",1
7,False,"{'a': 0.5599999999999998, 'e': 0.835270211411272}",25,2,-77.49832146304695,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 1}",1
8,False,"{'a': 0.5399999999999998, 'e': 0.8105842459701871}",25,0,-79.85893813295226,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5199999999999998, 'e': 0.7866278610665535}",30,0,-157.37435035789883,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.4999999999999998, 'e': 0.7633794943368531}",25,0,-45.19704622290097,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.47999999999999976, 'e': 0.7408182206817179}",30,6,-41.526130907468236,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 0}",1
12,False,"{'a': 0.45999999999999974, 'e': 0.7189237334319262}",20,0,-109.17875841765398,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
13,False,"{'a': 0.4399999999999997, 'e': 0.697676326071031}",25,0,-125.93237617353984,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.4199999999999997, 'e': 0.6770568744981647}",20,9,-20.755762797330483,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.3999999999999997, 'e': 0.6570468198150567}",20,8,-35.20264820810602,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
16,False,"{'a': 0.37999999999999967, 'e': 0.6376281516217733}",35,0,-99.31059544780757,"{0: 25, 1: 1, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.35999999999999965, 'e': 0.6187833918061408}",20,0,-10.49434833027646,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.33999999999999964, 'e': 0.6004955788122659}",30,3,-23.14525717155013,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 0}",1
19,False,"{'a': 0.3199999999999996, 'e': 0.5827482523739896}",20,0,-23.945578793690714,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.2999999999999996, 'e': 0.5655254386995371}",25,3,-42.198062432474394,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 0}",1
21,False,"{'a': 0.2799999999999996, 'e': 0.5488116360940265}",25,0,-48.243381424050924,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.25999999999999956, 'e': 0.5325918010068972}",25,3,-49.69803462080799,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
23,False,"{'a': 0.23999999999999957, 'e': 0.5168513344916993}",20,11,-81.65829362920853,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 2}",1
24,False,"{'a': 0.21999999999999958, 'e': 0.5015760690660556}",20,0,-45.33014925098569,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.1999999999999996, 'e': 0.4867522559599717}",20,0,-52.84881986103868,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
26,False,"{'a': 0.1999999999999996, 'e': 0.4723665527410147}",30,0,-59.297672803808204,"{0: 21, 1: 4, 2: 3, 3: 2, 4: 0}",0
27,False,"{'a': 0.1999999999999996, 'e': 0.4584060113052235}",25,0,-14.737179837298402,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
28,False,"{'a': 0.1999999999999996, 'e': 0.44485806622294116}",30,18,-1.913916065519471,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.1999999999999996, 'e': 0.43171052342907973}",20,0,-64.77472116840897,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
30,False,"{'a': 0.1999999999999996, 'e': 0.418951549247639}",20,0,-76.05823777607036,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
31,False,"{'a': 0.1999999999999996, 'e': 0.40656965974059917}",25,6,-45.9157208429705,"{0: 13, 1: 5, 2: 0, 3: 0, 4: 1}",1
32,False,"{'a': 0.1999999999999996, 'e': 0.39455371037160114}",20,12,5.454600338823225,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.1999999999999996, 'e': 0.38289288597511206}",20,0,-54.04960844649585,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
34,False,"{'a': 0.1999999999999996, 'e': 0.3715766910220457}",35,15,-54.935969098819534,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",1
35,False,"{'a': 0.1999999999999996, 'e': 0.3605949401730783}",20,0,-15.848684504187506,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
36,False,"{'a': 0.1999999999999996, 'e': 0.3499377491111553}",25,14,-34.43784354695154,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.1999999999999996, 'e': 0.3395955256449391}",25,18,0.35030162821058175,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.1999999999999996, 'e': 0.3295589610751891}",20,10,-6.511651716851273,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.1999999999999996, 'e': 0.31981902181630395}",35,0,-15.84780268515399,"{0: 31, 1: 2, 2: 1, 3: 0, 4: 1}",0
40,False,"{'a': 0.1999999999999996, 'e': 0.31036694126548503}",20,11,13.258941557321954,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.1999999999999996, 'e': 0.30119421191220214}",25,3,-54.51343942591523,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 1}",1
42,False,"{'a': 0.1999999999999996, 'e': 0.2922925776808594}",25,8,20.67417704738839,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.1999999999999996, 'e': 0.2836540264997704}",20,14,10.282345911160913,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.1999999999999996, 'e': 0.27527078308975234}",30,0,-65.12656460152179,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
45,False,"{'a': 0.1999999999999996, 'e': 0.2671353019658504}",30,18,9.187104200846441,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.1999999999999996, 'e': 0.25924026064589156}",20,0,6.276828629052846,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
47,False,"{'a': 0.1999999999999996, 'e': 0.2515785530597565}",20,0,-21.258507735730156,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
48,False,"{'a': 0.1999999999999996, 'e': 0.2441432831534371}",25,13,-3.5228539760442192,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.1999999999999996, 'e': 0.23692775868212176}",25,15,-9.204260912024147,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.1999999999999996, 'e': 0.22992548518672384}",25,3,8.97554084974453,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.1999999999999996, 'e': 0.22313016014842982}",30,18,-12.821091657142588,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
52,False,"{'a': 0.1999999999999996, 'e': 0.21653566731600707}",25,13,-42.93647609302874,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
53,False,"{'a': 0.1999999999999996, 'e': 0.21013607120076472}",20,2,21.33048019101103,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
