trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-65.83769021104068,"{0: 22, 1: 0, 2: 7, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,7,-97.68202724781223,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.47813791445154,"{0: 10, 1: 6, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,3,-114.33997564116277,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.325516013111695,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.33434117361298,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-16.651324595749458,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.34415349593219,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,16,-10.844349941687595,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.82554503763393,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.94042204534924,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,10,3.7410489254131143,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.42818453951108,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.497933923192036,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,5,-130.2185655976754,"{0: 7, 1: 0, 2: 6, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,14,-13.291586957785837,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.60370622294656,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.85751061976292,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,2,-118.16855751279577,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.09208493839486,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-75.21940399393407,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-255.17109798336156,"{0: 15, 1: 4, 2: 5, 3: 2, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-147.89633280027067,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-151.9594578573383,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.53936430275765,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.03438189154282,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-58.04333104673698,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-110.7263595918643,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-152.94418045830918,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-238.72124311180082,"{0: 13, 1: 5, 2: 7, 3: 2, 4: 3}",0
